Serial Number	Name	Value
A-000-000-000	Horse	1000.00
A-000-000-100	Horse	1000.00
A-000-000-200	Horse	1000.00
A-000-000-300	Horse	1000.00
A-000-000-400	Horse	1000.00
A-000-000-500	Horse	1000.00
A-000-000-600	Horse	1000.00
A-000-000-700	Horse	1000.00
A-000-000-800	Horse	1000.00
A-000-000-900	Horse	1000.00
A-000-000-100	Horse	1000.00
A-000-000-110	Horse	1000.00
A-000-000-120	Horse	1000.00
A-000-000-130	Horse	1000.00
A-000-000-140	Horse	1000.00
A-000-000-150	Horse	1000.00
A-000-000-160	Horse	1000.00
A-000-000-170	Horse	1000.00
A-000-000-180	Horse	1000.00
A-000-000-190	Horse	1000.00
A-000-000-200	Horse	1000.00
A-000-000-210	Horse	1000.00
A-000-000-220	Horse	1000.00
A-000-000-230	Horse	1000.00
A-000-000-240	Horse	1000.00
A-000-000-250	Horse	1000.00
A-000-000-260	Horse	1000.00
A-000-000-270	Horse	1000.00
A-000-000-280	Horse	1000.00
A-000-000-290	Horse	1000.00
A-000-000-300	Horse	1000.00
A-000-000-310	Horse	1000.00
A-000-000-320	Horse	1000.00
A-000-000-330	Horse	1000.00
A-000-000-340	Horse	1000.00
A-000-000-350	Horse	1000.00
A-000-000-360	Horse	1000.00
A-000-000-370	Horse	1000.00
A-000-000-380	Horse	1000.00
A-000-000-390	Horse	1000.00
A-000-000-400	Horse	1000.00
A-000-000-410	Horse	1000.00
A-000-000-420	Horse	1000.00
A-000-000-430	Horse	1000.00
A-000-000-440	Horse	1000.00
A-000-000-450	Horse	1000.00
A-000-000-460	Horse	1000.00
A-000-000-470	Horse	1000.00
A-000-000-480	Horse	1000.00
A-000-000-490	Horse	1000.00
A-000-000-500	Horse	1000.00
A-000-000-510	Horse	1000.00
A-000-000-520	Horse	1000.00
A-000-000-530	Horse	1000.00
A-000-000-540	Horse	1000.00
A-000-000-550	Horse	1000.00
A-000-000-560	Horse	1000.00
A-000-000-570	Horse	1000.00
A-000-000-580	Horse	1000.00
A-000-000-590	Horse	1000.00
A-000-000-600	Horse	1000.00
A-000-000-610	Horse	1000.00
A-000-000-620	Horse	1000.00
A-000-000-630	Horse	1000.00
A-000-000-640	Horse	1000.00
A-000-000-650	Horse	1000.00
A-000-000-660	Horse	1000.00
A-000-000-670	Horse	1000.00
A-000-000-680	Horse	1000.00
A-000-000-690	Horse	1000.00
A-000-000-700	Horse	1000.00
A-000-000-710	Horse	1000.00
A-000-000-720	Horse	1000.00
A-000-000-730	Horse	1000.00
A-000-000-740	Horse	1000.00
A-000-000-750	Horse	1000.00
A-000-000-760	Horse	1000.00
A-000-000-770	Horse	1000.00
A-000-000-780	Horse	1000.00
A-000-000-790	Horse	1000.00
A-000-000-800	Horse	1000.00
A-000-000-810	Horse	1000.00
A-000-000-820	Horse	1000.00
A-000-000-830	Horse	1000.00
A-000-000-840	Horse	1000.00
A-000-000-850	Horse	1000.00
A-000-000-860	Horse	1000.00
A-000-000-870	Horse	1000.00
A-000-000-880	Horse	1000.00
A-000-000-890	Horse	1000.00
A-000-000-900	Horse	1000.00
A-000-000-910	Horse	1000.00
A-000-000-920	Horse	1000.00
A-000-000-930	Horse	1000.00
A-000-000-940	Horse	1000.00
A-000-000-950	Horse	1000.00
A-000-000-960	Horse	1000.00
A-000-000-970	Horse	1000.00
A-000-000-980	Horse	1000.00
A-000-000-990	Horse	1000.00
A-000-000-100	Horse	1000.00
A-000-000-101	Horse	1000.00
A-000-000-102	Horse	1000.00
A-000-000-103	Horse	1000.00
A-000-000-104	Horse	1000.00
A-000-000-105	Horse	1000.00
A-000-000-106	Horse	1000.00
A-000-000-107	Horse	1000.00
A-000-000-108	Horse	1000.00
A-000-000-109	Horse	1000.00
A-000-000-110	Horse	1000.00
A-000-000-111	Horse	1000.00
A-000-000-112	Horse	1000.00
A-000-000-113	Horse	1000.00
A-000-000-114	Horse	1000.00
A-000-000-115	Horse	1000.00
A-000-000-116	Horse	1000.00
A-000-000-117	Horse	1000.00
A-000-000-118	Horse	1000.00
A-000-000-119	Horse	1000.00
A-000-000-120	Horse	1000.00
A-000-000-121	Horse	1000.00
A-000-000-122	Horse	1000.00
A-000-000-123	Horse	1000.00
A-000-000-124	Horse	1000.00
A-000-000-125	Horse	1000.00
A-000-000-126	Horse	1000.00
A-000-000-127	Horse	1000.00
A-000-000-128	Horse	1000.00
A-000-000-129	Horse	1000.00
A-000-000-130	Horse	1000.00
A-000-000-131	Horse	1000.00
A-000-000-132	Horse	1000.00
A-000-000-133	Horse	1000.00
A-000-000-134	Horse	1000.00
A-000-000-135	Horse	1000.00
A-000-000-136	Horse	1000.00
A-000-000-137	Horse	1000.00
A-000-000-138	Horse	1000.00
A-000-000-139	Horse	1000.00
A-000-000-140	Horse	1000.00
A-000-000-141	Horse	1000.00
A-000-000-142	Horse	1000.00
A-000-000-143	Horse	1000.00
A-000-000-144	Horse	1000.00
A-000-000-145	Horse	1000.00
A-000-000-146	Horse	1000.00
A-000-000-147	Horse	1000.00
A-000-000-148	Horse	1000.00
A-000-000-149	Horse	1000.00
A-000-000-150	Horse	1000.00
A-000-000-151	Horse	1000.00
A-000-000-152	Horse	1000.00
A-000-000-153	Horse	1000.00
A-000-000-154	Horse	1000.00
A-000-000-155	Horse	1000.00
A-000-000-156	Horse	1000.00
A-000-000-157	Horse	1000.00
A-000-000-158	Horse	1000.00
A-000-000-159	Horse	1000.00
A-000-000-160	Horse	1000.00
A-000-000-161	Horse	1000.00
A-000-000-162	Horse	1000.00
A-000-000-163	Horse	1000.00
A-000-000-164	Horse	1000.00
A-000-000-165	Horse	1000.00
A-000-000-166	Horse	1000.00
A-000-000-167	Horse	1000.00
A-000-000-168	Horse	1000.00
A-000-000-169	Horse	1000.00
A-000-000-170	Horse	1000.00
A-000-000-171	Horse	1000.00
A-000-000-172	Horse	1000.00
A-000-000-173	Horse	1000.00
A-000-000-174	Horse	1000.00
